stop_id,stop_name,stop_lat,stop_lon
05461,Irauregui,43.248317,-2.990089
05463,Zaramillo,43.2332250,-3.0160370
05465,LaQuadra,43.222712,-3.024874
05467,Sodupe,43.202057,-3.050494
05469,Artxube,43.201091,-3.071677
05470,Lambarri,43.205985,-3.08262
05471,GüeÑes,43.20908,-3.095381
05473,Aranguren,43.210494,-3.109354
05474,Aranguren/Apdro.,43.210347,-3.114075
05475,Zalla,43.212797,-3.133284
05477,Colegio,43.2108840,-3.1387030
05479,Ibarra,43.2039570,-3.1448310
05481,LaHerrera,43.203182,-3.170446
05483,Balmaseda,43.196388,-3.189924
05485,LaCalzada,43.190121,-3.197160
05501,OviedoRam,43.366841,-5.854263
05504,ParquePrincipado,43.3868100,-5.8088900
05505,Colloto/Cualloto,43.3794400,-5.7922500
05507,Meres,43.3807153,-5.7488323
05508,Fonciello,43.3817019,-5.7296665
05509,ElBerrón,43.3825250,-5.7026550
05511,LaCarrera,43.386909,-5.675275
05513,LaPolaSiero,43.388113,-5.664779
05515,LosCorros,43.376828,-5.601385
05517,Lieres,43.38058,-5.582573
05519,Rianes,43.3789387,-5.5628276
05521,ElRemediu,43.375076,-5.546238
05522,Llames,43.3687800,-5.5256600
05523,Nava,43.3611700,-5.5092900
05525,Fuentesanta/Huentesanta,43.3554700,-5.4782400
05527,Ceceda/Cecea,43.3561800,-5.4511700
05529,Carancos,43.355586,-5.434425
05531,Pintueles,43.3614480,-5.3874960
05533,L\'infiestu,43.351777,-5.36921
05534,L\'infiestuApd,43.3438950,-5.3572830
05601,SantanderRam,43.4583294,-3.8120706
05602,ValdecillaLaMarga,43.452804,-3.828602
05603,CazoÑa,43.455249,-3.841491
05604,Adarzo,43.453465,-3.85579
05605,Bezana,43.4409900,-3.8996100
05607,Mortera,43.435207,-3.918223
05609,BooDePiélago,43.4316340,-3.9464320
05611,Mogro,43.4250400,-3.9607600
05613,Gornazo,43.409638,-3.988686
05615,Mar,43.398343,-4.010047
05617,Requejada,43.3913700,-4.0279800
05619,Barreda,43.37424,-4.04187
05620,Altamira,43.3536040,-4.0606090
05621,Torrelavega/Centro,43.35093,-4.051009
05622,Ganzo,43.356546,-4.070291
05623,PuenteSanMiguel,43.3586380,-4.0877570
05625,SantaIsabelDeQuijas,43.3589770,-4.1118650
05627,SanPedroDeRudagüera,43.361127,-4.149519
05629,Golbardo,43.3408710,-4.1555960
05631,CasarDePeriedo,43.3387700,-4.1747300
05633,VirgenDeLaPeÑa,43.323142,-4.193685
05635,Ontoria,43.3152500,-4.2155400
05637,CabezónDeLaSal,43.3077700,-4.2319600
05651,NuevaMontaÑa,43.440103,-3.849398
05652,ValleReal,43.427513,-3.840498
05655,MaliaÑoLaVidriera,43.416083,-3.841081
05657,Astillero,43.4037100,-3.8212500
05658,LaCantábrica,43.397296,-3.814914
05659,SanSalvador,43.393758,-3.803777
05661,Heras,43.401139,-3.766305
05663,Orejo,43.399487,-3.737923
05665,Solares,43.3874800,-3.7313100
05667,CeceÑas,43.376441,-3.717872
05669,LaCavada,43.350589,-3.706766
05671,Liérganes,43.3448200,-3.7421200
05721,Arla-Berrón,43.1666990,-3.2275890
05722,UngoNava,43.1428940,-3.2647160
05724,Mercadillo-Villasana,43.1052090,-3.2644690
05727,Cadagua,43.0681710,-3.3473390
05730,BercedoMontija,43.0884790,-3.4560000
05731,QuintanaDeLosPrados,43.0800000,-3.5100000
05732,EspinosaDeLosMonteros,43.0742520,-3.5371160
05733,Redondo,43.0629930,-3.6078950
05734,Sotoscueva,43.0452920,-3.6882530
05735,Pedrosa,43.0123670,-3.7378520
05736,DosanteCidad,43.0012500,-3.7452500
05737,RobredoAhedo,43.0190940,-3.8092310
05738,Soncillo,43.005809,-3.844888
05739,CabaÑasDeVirtus,42.996397,-3.858466
05740,Arija,42.9912920,-3.9450060
05741,Llano,42.9880620,-3.9823570
05742,Feve-LasRozasDeValdearroyo,42.9736050,-4.0298640
05743,MontesClaros,42.9343230,-4.0500730
05744,LosCarabeos,42.9103290,-4.0752110
05747,Cillamayor,42.8577520,-4.2791780
05748,SalinasDePisuerga,42.8512710,-4.3862090
05749,VadoCervera,42.8393600,-4.4947700
05750,CastrejónDeLaPeÑa,42.8119900,-4.6016200
05751,VillaverdeTarilonte,42.8183530,-4.6854190
05752,SantibaÑezDeLaPeÑa,42.8020400,-4.7414500
05753,Guardo/Apdro.,42.7877600,-4.8451920
05754,Guardo,42.7910800,-4.8520100
05755,LaLlamaDeLaGuzpeÑa,42.7702740,-5.0412990
05756,LaEspina,42.787317,-4.905185
05757,Valcuende,42.7656200,-4.9292100
05758,PuenteAlmuhey,42.78764,-4.971911
05759,PradoDeLaGuzpeÑa,42.7838799,-5.0264800
05760,ValleDeLasCasas,42.7677800,-5.0711100
05761,Cistierna,42.8031400,-5.1307600
05762,Yugueros,42.809817,-5.180063
05763,LaErcina,42.8086800,-5.2140870
05764,Barrillos,42.812364,-5.283128
05765,Feve-LaLosilla,42.838561,-5.318151
05766,BoÑar,42.862759,-5.328534
05767,LaVecilla,42.855095,-5.412162
05768,Aviados,42.854774,-5.442816
05769,LaValcueva,42.84966,-5.486957
05770,Matallana,42.841068,-5.522135
05771,Pardavé,42.806349,-5.508186
05772,Pedrún,42.791013,-5.506954
05773,Manzaneda,42.754603,-5.51641
05774,Garrafe,42.734502,-5.52421
05775,Palazuelo,42.707132,-5.533764
05776,SanFeliz,42.682301,-5.537782
05777,Villaquilambre,42.6469340,-5.5540460
05785,Villasinta,42.657554,-5.549298
05786,Matueca,42.771532,-5.51194
05787,Naredo,42.833441,-5.523002
05788,Robles,42.840743,-5.507292
05789,Campohermoso,42.855941,-5.42872
05790,Sorriba,42.786278,-5.127479
05793,LaMataDeLaRiba,42.858578,-5.339645
05794,LaRaya,42.629108,-5.561383
05795,Feve-Otero,42.859568,-5.389983
05796,VillaRomana,42.629111,-5.561338
05797,Valdepiélago,42.8650500,-5.4032170
05798,LaDevesa,42.820148,-5.302187
05799,CerezalDeLaGuzpeÑa,42.7798340,-5.0058510
05803,LaAsunción/Universidad,42.615821,-5.566379
05805,BarrioDeLasOllas,42.858586,-5.339549
05807,Valderilla,42.717641,-5.530277
05951,Feve-CartagenaPlazaBastarreche,37.603575,-0.977029
05952,Hospital,37.60529,-0.960681
05953,MediaLegua,37.607888,-0.953643
05955,VistaAlegre,37.609294,-0.944179
05957,ElAbrevadero,37.609727,-0.931259
05959,Alumbres,37.609929,-0.914841
05961,LaEsperanza,37.613793,-0.891342
05963,LaUniónVieja,37.615466,-0.881629
05965,LaUnión,37.615673,-0.875217
05967,SierraMinera,37.61985,-0.864864
05969,LlanoDelBeal,37.626055,-0.83621
05971,ElEstrecho,37.627603,-0.829591
05973,LosNietosViejos,37.646924,-0.791485
05975,LosNietosPescadería,37.649354,-0.787864
05977,LosNietos,37.651839,-0.796983
06001,Librilla(apd),37.8865569,-1.3471673
06002,AlhamaDeMurcia,37.8493837,-1.4145055
06003,Totana,37.7635101,-1.4956127
06004,LaHoya(apd),37.7037338,-1.5954024
06005,Lorca-SanDiego(apd),37.6805717,-1.6858944
06006,LorcaSutullena,37.6725714,-1.6959002
06007,PuertoLumbreras(apt),37.5809194,-1.731775
