trip_id,start_time,end_time,headway_secs
4-I12-003-2022I12-1-1-4--3---,14:00:00,17:00:00,330
4-I12-003-2022I12-2-1-4--3---,14:00:00,17:00:00,330
4-I12-003-2022I12-1-1-4--3---,17:00:00,22:00:00,270
4-I12-003-2022I12-2-1-4--3---,17:00:00,22:00:00,270
4-I12-003-2022I12-1-1-4--3---,22:00:00,23:00:00,390
4-I12-003-2022I12-2-1-4--3---,22:00:00,23:00:00,390
4-I12-003-2022I12-1-1-4--3---,23:00:00,25:00:00,450
4-I12-003-2022I12-2-1-4--3---,23:00:00,25:00:00,450
4-I13-003-2022I13-1-1-4--3---,00:00:00,02:00:00,900
4-I13-003-2022I13-2-1-4--3---,00:00:00,02:00:00,900
4-I13-003-2022I13-1-1-4--3---,06:05:00,07:00:00,540
4-I13-003-2022I13-2-1-4--3---,06:05:00,07:00:00,540
4-I13-003-2022I13-1-1-4--3---,07:00:00,10:00:00,480
4-I13-003-2022I13-2-1-4--3---,07:00:00,10:00:00,480
4-I13-003-2022I13-1-1-4--3---,10:00:00,17:00:00,390
4-I13-003-2022I13-2-1-4--3---,10:00:00,17:00:00,390
4-I13-003-2022I13-1-1-4--3---,17:00:00,22:00:00,300
4-I13-003-2022I13-2-1-4--3---,17:00:00,22:00:00,300
4-I13-003-2022I13-1-1-4--3---,22:00:00,23:00:00,390
4-I13-003-2022I13-2-1-4--3---,22:00:00,23:00:00,390
4-I13-003-2022I13-1-1-4--3---,23:00:00,24:00:00,450
4-I13-003-2022I13-2-1-4--3---,23:00:00,24:00:00,450
4-I14-003-2022I14-1-1-4--3---,00:00:00,02:00:00,900
4-I14-003-2022I14-2-1-4--3---,00:00:00,02:00:00,900
4-I14-003-2022I14-1-1-4--3---,06:05:00,07:00:00,390
4-I14-003-2022I14-2-1-4--3---,06:05:00,07:00:00,390
4-I14-003-2022I14-1-1-4--3---,07:00:00,07:30:00,210
4-I14-003-2022I14-2-1-4--3---,07:00:00,07:30:00,210
4-I14-003-2022I14-1-1-4--3---,07:30:00,09:30:00,180
4-I14-003-2022I14-2-1-4--3---,07:30:00,09:30:00,180
4-I14-003-2022I14-1-1-4--3---,09:30:00,11:00:00,240
4-I14-003-2022I14-2-1-4--3---,09:30:00,11:00:00,240
4-I14-003-2022I14-1-1-4--3---,11:00:00,14:00:00,300
4-I14-003-2022I14-2-1-4--3---,11:00:00,14:00:00,300
4-I14-003-2022I14-1-1-4--3---,14:00:00,18:00:00,270
4-I14-003-2022I14-2-1-4--3---,14:00:00,18:00:00,270
4-I14-003-2022I14-1-1-4--3---,18:00:00,20:00:00,240
4-I14-003-2022I14-2-1-4--3---,18:00:00,20:00:00,240
4-I14-003-2022I14-1-1-4--3---,20:00:00,21:00:00,270
4-I14-003-2022I14-2-1-4--3---,20:00:00,21:00:00,270
4-I14-003-2022I14-1-1-4--3---,21:00:00,22:00:00,300
4-I14-003-2022I14-2-1-4--3---,21:00:00,22:00:00,300
